nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,produto_das_lavouras_permanentes_codigo,produto_das_lavouras_permanentes
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,90001,Palmito
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2741,Pera
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2742,Pêssego
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2743,Pimenta-do-reino
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2744,Sisal ou agave (fibra)
6,Município,33,Quilogramas por Hectare,125000,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2745,Tangerina
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2746,Tungue (fruto seco)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2747,Urucum (semente)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2748,Uva
6,Município,1012,Mil Cruzeiros,4492,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,0,Total
6,Município,1012,Mil Cruzeiros,208,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2717,Abacate
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2718,Algodão arbóreo (em caroço)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,45981,Açaí
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2719,Azeitona
6,Município,1012,Mil Cruzeiros,2772,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2720,Banana (cacho)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2721,Borracha (látex coagulado)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,40472,Borracha (látex líquido)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2722,Cacau (em amêndoa)
6,Município,1012,Mil Cruzeiros,371,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2723,Café (em grão) Total
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,31619,Café (em grão) Arábica
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,31620,Café (em grão) Canephora
6,Município,1012,Mil Cruzeiros,131,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,40473,Caju
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2724,Caqui
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2725,Castanha de caju
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2726,Chá-da-índia (folha verde)
