nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,cor_ou_raca_codigo,cor_ou_raca,sexo_codigo,sexo,idade_codigo,idade
6,Município,45,Pessoas,17345,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93088,25 a 29 anos
6,Município,45,Pessoas,3561,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6582,25 anos
6,Município,45,Pessoas,3456,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6656,26 anos
6,Município,45,Pessoas,3458,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6657,27 anos
6,Município,45,Pessoas,3572,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6658,28 anos
6,Município,45,Pessoas,3298,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6659,29 anos
6,Município,45,Pessoas,17097,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93089,30 a 34 anos
6,Município,45,Pessoas,3702,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6583,30 anos
6,Município,45,Pessoas,3184,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6584,31 anos
6,Município,45,Pessoas,3554,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6585,32 anos
6,Município,45,Pessoas,3368,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6586,33 anos
6,Município,45,Pessoas,3289,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6587,34 anos
6,Município,45,Pessoas,17397,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93090,35 a 39 anos
6,Município,45,Pessoas,3645,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6588,35 anos
6,Município,45,Pessoas,3473,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6589,36 anos
6,Município,45,Pessoas,3185,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6590,37 anos
